user_id,username,location,age,gender,preferences
46,593minqil,,,,"saltwater pool, sauna, free internet, spa, sun loungers / beach chairs, allergy-free room, executive lounge access, fitness classes, happy hour, art deco flair and a marriage of cultures and heritage, coffee / tea maker, conference facilities, suites, salon, internet, complimentary instant coffee, yoga room, restaurant, filipino, walk-in shower, heated pool, poolside bar, bathrobes, banquet room, shared lounge / tv area, flatscreen tv, kitchenette, complimentary welcome drink, sun umbrellas, shoeshine, family rooms, interconnected room(s) available, 24-hour check-in, pool, landmark view, sun deck, meeting rooms, safe, electric kettle, additional bathroom, bidet, sofitel emirates, steam room, breakfast in the room, non-smoking rooms, accessible rooms, pool with view, timeless elegance, sofitel dubai, english, outdoor pool, telephone, sofitel dubai the obelisk, seating area, kids stay free, highchairs available, butler service, bar/lounge, doorperson, parking, private bathrooms, outdoor dining area, sun terrace, hammam, shallow end, kids club, express check-in / check-out, luxury guestrooms, wheelchair access, umbrella, kids pool, sofa, ironing service, separate living room, kids' meals, swimup bar, breakfast available, indoor play area for children, soundproof rooms, fitness center, dining area, personal trainer, bath / shower, multilingual staff, free parking, concierge, iron, smoking rooms available, fitness / spa locker rooms, complimentary tea, minibar, desk"
47,949wadhaa,,,,"bidet, multilingual staff, timeless elegance, french"
48,162rabiae,,,,"hand massage, massage, timeless elegance, umbrella, sauna, saltwater pool, couples massage, full body massage, spa, sofitel dubai, interconnected room(s) available, facial treatments, sofitel dubai the obelisk, head massage, suites, landmark view, bath / shower, foot massage, sun terrace, bidet, neck massage, hammam, sofitel emirates, steam room"
49,KamranA461,,,,"accessible rooms, separate dining area, timeless elegance, french, bidet, complimentary tea, interconnected room(s) available, multilingual staff"
50,NerissaNaval,,,,"accessible rooms, timeless elegance, complimentary welcome drink, sofa, sofitel dubai, executive lounge access, interconnected room(s) available, art deco flair and a marriage of cultures and heritage, dubai the obelisk, sofitel dubai the obelisk, seating area, dining area, butler service, separate dining area, restaurant, multilingual staff, safe, concierge, french, bidet, complimentary tea, sofitel emirates"
51,Discerningreviewer4,"Orlando, Florida",,,"ipod docking station, non-smoking rooms, accessible rooms, breakfast buffet, express check-in / check-out, banquet room, pool with view, wheelchair access, laptop safe, umbrella, foot bath, flatscreen tv, sofa, bottled water, sun umbrellas, couples massage, free internet, spa, private beaches, english, sun loungers / beach chairs, allergy-free room, facilities for disabled guests, free wifi in the business center, poolside bar, bridal suite, swimup bar, complimentary toiletries, family rooms, outdoor pool, beachfront, interconnected room(s) available, room service, telephone, coffee shop, coffee / tea maker, corniche, breakfast available, seating area, soundproof rooms, rooftop bar, conference facilities, suites, 24-hour check-in, tile / marble floor, outdoor furniture, infinity pool, salon, pool, vip room facilities, bar/lounge, complimentary instant coffee, private bathrooms, yoga room, multilingual staff, bath / shower, meeting rooms, electric kettle, private check-in / check-out, concierge, design, outdoor dining area, solarium, walk-in shower, smoking rooms available, contemporary luxury with genuine hospitality and personalized service, sun terrace, french, heated pool, beach access, complimentary tea, shallow end, body wrap, desk, steam room, breakfast in the room"
52,Morbius69,,,,"breakfast buffet, laundry service, bottled water, wine / champagne, free internet, spa, cable / satellite tv, ritz-carlton abu dhabi, facilities for disabled guests, sun loungers / beach chairs, entertainment staff, allergy-free room, waterfront, coffee / tea maker, corniche, public wifi, conference facilities, views, salon, internet, complimentary instant coffee, restaurant, special diet menus, solarium, filipino, luxury, heated pool, poolside bar, banquet room, wifi, flatscreen tv, foot bath, shoeshine, interconnected room(s) available, pool, safe, meeting rooms, electric kettle, design, additional bathroom, conrad abu dhabi etihad towers, beach access, abu dhabi, steam room, breakfast in the room, non-smoking rooms, accessible rooms, pool with view, private beaches, english, grand hotel, bridal suite, room service, outdoor pool, beachfront, telephone, private balcony, seating area, infinity pool, kids activities, butler service, bar/lounge, waterfront location, doorperson, private check-in / check-out, outdoor dining area, contemporary luxury with genuine hospitality and personalized service, sun terrace, housekeeping, kids club, pool / beach towels, italian, wheelchair access, umbrella, sunsets, sofa, wake up service / alarm clock, ironing service, swimup bar, 24-hour front desk, coffee shop, breakfast available, rooftop bar, vip room facilities, paid wifi, bath / shower, multilingual staff, concierge, iron, smoking rooms available, french, desk"
53,Farhiya01,,,,"accessible rooms, pool with view, wifi, umbrella, flatscreen tv, sun loungers / beach chairs, free wifi in the business center, 24-hour front desk, outdoor pool, beachfront, interconnected room(s) available, coffee / tea maker, seating area, suites, bar/lounge, private bathrooms, bath / shower, safe, concierge, solarium, design, walk-in shower, contemporary luxury with genuine hospitality and personalized service, additional bathroom, sun terrace, bidet, heated pool, fitness / spa locker rooms"
54,_R4991HM,,,,"non-smoking rooms, accessible rooms, couples massage, english, outdoor pool, room service, interconnected room(s) available, happy hour, coffee / tea maker, breakfast available, seating area, bar/lounge, bath / shower, restaurant, multilingual staff, safe, private check-in / check-out, design, outdoor dining area, contemporary luxury with genuine hospitality and personalized service, additional bathroom, complimentary tea, neck massage, desk, breakfast in the room"
55,KMprakash,,,,"non-smoking rooms, accessible rooms, snack bar, banquet room, shallow end, pool with view, umbrella, sauna, foot bath, sofa, spa, private beaches, sun loungers / beach chairs, bridal suite, swimup bar, family rooms, desk, outdoor pool, beachfront, interconnected room(s) available, coffee shop, corniche, seating area, soundproof rooms, rooftop bar, conference facilities, suites, 24-hour check-in, tile / marble floor, fitness center, pool, salon, infinity pool, vip room facilities, bar/lounge, gift shop, yoga room, bath / shower, restaurant, multilingual staff, safe, private bathrooms, electric kettle, private check-in / check-out, meeting rooms, concierge, design, outdoor dining area, solarium, walk-in shower, contemporary luxury with genuine hospitality and personalized service, additional bathroom, sun terrace, bidet, shops, heated pool, beach access, minibar, abu dhabi, poolside bar"
56,ahmedjC1321UQ,,,,"luxury lifestyle, italian, a sense of place®, portuguese, georgian, flatscreen tv, turkish, english, hungarian, executive lounge access, outdoor pool, waterfront, interconnected room(s) available, telephone, coffee / tea maker, seating area, views, business center, internet, personal trainer, wardrobe / closet, private bathrooms, bath / shower, rosewood abu dhabi, serbian, meeting rooms, czech, private check-in / check-out, design, outdoor dining area, filipino, additional bathroom, french, luxury, free wired internet in the business center, hotel complex, abu dhabi"
57,Traveler67754026737,,,,"english, accessible rooms, views, design, italian, a sense of place®, bar/lounge, safe, evening entertainment, luxury, waterfront, interconnected room(s) available, multilingual staff, entertainment, world-class service, seating area"
58,Cosmopolitan740180,"Ventura, California",,,"luxury lifestyle, world-class service, views, design, landmark view, a sense of place®, bar/lounge, luxury, hotel complex, interconnected room(s) available, rosewood abu dhabi, entertainment, abu dhabi"
59,samwK747XJ,,,,"luxury lifestyle, views, rooftop terrace, a sense of place®, minibar, bar/lounge, safe, steam room, luxury, hot tub, interconnected room(s) available, multilingual staff, entertainment, history, world-class service, poolside bar"
60,347keanv,,,,"restaurant, luxury lifestyle, thai, views, a sense of place®, vietnamese, luxury, interconnected room(s) available, multilingual staff, chinese, world-class service"
61,jits2017,"Hornchurch, Greater London, England",,,"aquatic and arabesque design, luxor, pool, resort, pool with view, aquatic heritage, bar/lounge, luxury, interconnected room(s) available"
62,alnassera2024,"Washington DC, District of Columbia",,,"rixos marina abu dhabi, pool / beach towels, pool with view, umbrella, flatscreen tv, foot bath, sauna, hot tub, wine / champagne, couples massage, patio, spa, aquatic and arabesque design, cable / satellite tv, english, sun loungers / beach chairs, poolside bar, leisure, complimentary toiletries, adult pool, desk, family rooms, outdoor pool, interconnected room(s) available, abu dhabi, private balcony, breakfast available, coffee / tea maker, seating area, highchairs available, indoor play area for children, suites, tile / marble floor, outdoor furniture, butler service, pool, salon, vip room facilities, bar/lounge, rixos marina abu dhabi is an iconic architectural landmark that unites the very best of arabic and turkish culture, complimentary instant coffee, wardrobe / closet, private bathrooms, bath / shower, safe, private check-in / check-out, concierge, iron, ambience, luxor, outdoor dining area, resort, massage chair, aquatic heritage, walk-in shower, open-air bath, additional bathroom, sun terrace, free wifi, bidet, luxury, beach access, complimentary tea, body wrap, dining and hospitality., steam room, breakfast in the room"
63,tunykz,,,,"aquatic and arabesque design, luxor, english, non-smoking rooms, leisure, wine / champagne, bar/lounge, luxury, complimentary tea, interconnected room(s) available, restaurant, safe, private balcony, dining and hospitality., seating area"
64,743aliyak,,,,"nightclub / dj, rixos marina abu dhabi, gastronomy, pool with view, aquatic and arabesque design, leisure, adult pool, outdoor pool, interconnected room(s) available, pool, bar/lounge, rixos marina abu dhabi is an iconic architectural landmark that unites the very best of arabic and turkish culture, restaurant, safe, evening entertainment, ambience, resort, aquatic heritage, luxury, housekeeping, dining and hospitality."
65,_Q6155NS,,,,"hand massage, non-smoking rooms, spark pad, massage, sauna, sun umbrellas, couples massage, full body massage, spa, english, bridal suite, facial treatments, head massage, pool view, suites, pedicure, landmark view, xhosa, bath / shower, safe, manicure, concierge, foot massage, french, neck massage, steam room"
66,I133DJronnies,South Carolina,,,"hand massage, breakfast buffet, spark pad, yas island, sauna, laundry service, bottled water, spa, full body massage, korean, facilities for disabled guests, entertainment staff, complimentary toiletries, happy hour, indonesian, coffee / tea maker, ukrainian, kid’s splash pad and club, pedicure, internet, restaurant, yas island abu dhabi, tamil, filipino, walk-in shower, free wifi, 24-hour security, poolside bar, bathrobes, snack bar, laptop safe, wifi, shuttle bus service, flatscreen tv, sun umbrellas, zulu, 24-hour check-in, pool, secured parking, landmark view, meeting rooms, kid-friendly buffet, yas waterworld, taxi service, nepali, additional bathroom, abu dhabi, steam room, breakfast in the room, non-smoking rooms, hair dryer, hot tub, couples massage, malay, theme park access, english, russian, bridal suite, outdoor pool, room service, facial treatments, seating area, kids stay free, highchairs available, kids activities, bar/lounge, xhosa, doorperson, private bathrooms, parking, private check-in / check-out, photo copier / fax in business center, outdoor dining area, dry cleaning, housekeeping, neck massage, hammam, chinese, currency exchange, kids club, express check-in / check-out, pool / beach towels, italian, massage, children's television networks, wheelchair access, kids pool, wake up service / alarm clock, ironing service, 2,439 sq.ft.,, kids' meals, 24-hour front desk, air conditioning, coffee shop, breakfast available, indoor play area for children, head massage, pool view, fitness center, business center, atm on site, wardrobe / closet, bath / shower, manicure, concierge, iron, yas island theme park, foot massage, water park off-site, french, babysitting, desk"
67,LJD1971,"Stockport, Greater Manchester, England",,,"concierge, pool view, suites, outdoor dining area, salon, landmark view, additional bathroom, internet, xhosa, sun umbrellas, doorperson, bath / shower, hammam, restaurant, safe, abu dhabi, private check-in / check-out"
68,Getaway58006753498,"Abu Dhabi, Emirate of Abu Dhabi",,,"2,439 sq.ft.,, conference facilities, pool view, non-smoking rooms, facilities for disabled guests, outdoor dining area, valet parking, secured parking, additional bathroom, room service, parking, bath / shower, outdoor pool, safe, abu dhabi, private bathrooms, seating area"
69,shikhahm2024,,,,"head massage, hand massage, english, full body massage, yas island, massage, couples massage, neck massage, safe, spa"
70,Salmanjaseem,,,,"suites, accessible rooms, views, events, butler service, wellness, interconnected room(s) available, multilingual staff, airport transportation, prestigious district"
71,C549CGpierreg,,,,"views, lifestyle, la, mybed, bidet, wellness, room service, interconnected room(s) available, multilingual staff, prestigious district, abu dhabi, gulf"
72,Passenger37279652010,,,,"breakfast buffet, views, events, filipino, la, safe, corniche, wellness, sofa, interconnected room(s) available, restaurant, prestigious district, breakfast available, breakfast in the room"
73,travellet01,"Abu Dhabi, Emirate of Abu Dhabi",,,"hyatt regency, suites, prestigious district, accessible rooms, views, pool, events, english, mybed, wellness, hta, interconnected room(s) available, safe, lifestyle"
74,V682ELchristopherp,,,,"accessible rooms, interconnected room(s) available, restaurant, prestigious district, multilingual staff, lifestyle"
75,jay1987uk,"London, England",,,"pool with view, grand canal, english, grand hotel, room service, waterfront, interconnected room(s) available, outdoor pool, private balcony, breakfast available, views, pool, waterfront location, doorperson, restaurant, multilingual staff, safe, private check-in / check-out, concierge, smoking rooms available, luxury"
