user_id,username,location,age,gender,preferences_x,preferences_y
249,Departure476507,,,,,"Pool, Free parking, Wheelchair access, Public Wifi, Fitness center, Laundry Service, Internet, Free Internet, Restaurant, Wifi, Free Wifi, Meeting rooms, Non-smoking rooms, Air conditioning, Breakfast Buffet, Housekeeping, Kids Activities, Room service, Airport transportation, Hot Tub, Concierge, Family Rooms, Minibar, Outdoor pool, Breakfast Available, Sauna, Baggage Storage, Car Hire, Currency Exchange Welcome to Holiday Inn Tabuk!
Friendly service and warm welcome are our everyday policy to our guests. Our guest service associates will ensure that your visit is a very pleasant and memorable one.
&nbsp;
The hotel is only 3km from Tabuk Regional Airport. Stay your way with the modern amenities you expect and the style you want. Holiday Inn Tabuk offers dining experiences that are delightful and delicious. We offer elegant services via Al Walima Restaurant which offers wide range of oriental and western food in a nice atmosphere.
&nbsp;
Whatever your needs are, we can accommodate. With all of our exclusive offers, we'll inspire everything from successful business travels to memorable holiday vacations. 
&nbsp;
We thank you for choosing Holiday Inn Tabuk. Wish you a pleasant staying with us."
250,664mashas,,,,,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Indoor pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Filipino, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Ironing Service, Massage, 24-Hour Security, Shoeshine, Taxi Service, Valet Parking, VIP Room Facilities, Mountain View Royal M Hotel Fujairah is an excellent choice for travelers visiting Fujairah, offering a trendy environment alongside many helpful amenities designed to enhance your stay.
Close to some of Fujairah's most popular landmarks, such as Our Lady Of Perpetual Help Church (1.3 mi) and Fujairah Historic Fort (1.8 mi), Royal M Hotel Fujairah is a great destination for tourists.
Guest rooms offer a flat screen TV, a minibar, and air conditioning, and Royal M Hotel Fujairah makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including room service and a concierge. In addition, guests can enjoy a rooftop pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.
During your visit, be sure to check out one of Fujairah's popular pubs such as RJJ's Fujairah and Sports Lounge, all a short distance from Royal M Hotel Fujairah.
If you’re looking for something to do, Madhab Sulpheric Spring Park (1.2 mi) is a nice way to spend some time, and it is within walking distance of Royal M Hotel Fujairah.
Enjoy your stay in Fujairah!
"
251,C5406BR_,,,,," a simple place serving hot thin crust italian pizza with all fresh ingredients served hot ,all ingredients are 100%HALAL ,simple seated area , nice scenic veiw,friendly service and hospitality."
252,_H335PW,,,,," a simple place serving hot thin crust italian pizza with all fresh ingredients served hot ,all ingredients are 100%HALAL ,simple seated area , nice scenic veiw,friendly service and hospitality."
253,E8730TIalenaa,,,,," a simple place serving hot thin crust italian pizza with all fresh ingredients served hot ,all ingredients are 100%HALAL ,simple seated area , nice scenic veiw,friendly service and hospitality."
254,903ofeliyaa,,,,," An indulgent all-day dining restaurant showcasing flavors from around the world at Al Khiran Kitchen, horizons are meant to be expanded. This is true both literally, thanks to the panoramic views enjoyed from the restaurant’s two-level terrace, and figuratively, courtesy of the internationally inspired menu. Take a seat outdoors for a relaxing meal overlooking the pool and ocean or stay inside to watch the chefs in action through the open kitchen."
255,_Z7454RO,,,,," An indulgent all-day dining restaurant showcasing flavors from around the world at Al Khiran Kitchen, horizons are meant to be expanded. This is true both literally, thanks to the panoramic views enjoyed from the restaurant’s two-level terrace, and figuratively, courtesy of the internationally inspired menu. Take a seat outdoors for a relaxing meal overlooking the pool and ocean or stay inside to watch the chefs in action through the open kitchen."
256,785sudeeshp,,,,,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Indoor pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Filipino, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Ironing Service, Massage, 24-Hour Security, Shoeshine, Taxi Service, Valet Parking, VIP Room Facilities, Mountain View Royal M Hotel Fujairah is an excellent choice for travelers visiting Fujairah, offering a trendy environment alongside many helpful amenities designed to enhance your stay.
Close to some of Fujairah's most popular landmarks, such as Our Lady Of Perpetual Help Church (1.3 mi) and Fujairah Historic Fort (1.8 mi), Royal M Hotel Fujairah is a great destination for tourists.
Guest rooms offer a flat screen TV, a minibar, and air conditioning, and Royal M Hotel Fujairah makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including room service and a concierge. In addition, guests can enjoy a rooftop pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.
During your visit, be sure to check out one of Fujairah's popular pubs such as RJJ's Fujairah and Sports Lounge, all a short distance from Royal M Hotel Fujairah.
If you’re looking for something to do, Madhab Sulpheric Spring Park (1.2 mi) is a nice way to spend some time, and it is within walking distance of Royal M Hotel Fujairah.
Enjoy your stay in Fujairah!
"
257,vijesh23,Chandigarh,,,," In the heart of Manama, the luxury InterContinental® Regency Bahrain is close to the diplomatic district, Bahrain Financial Harbour and Manama Souq. Our 304 elegant guest rooms offer city and harbour views, while 6 tempting restaurants include the award-winning Legendz Steakhouse. With 16 flexible meeting rooms and the Al Rifaa ballroom for weddings or conferences, all your business needs are taken care of, and when you're off duty you can dive into the rooftop pool or book a massage in the spa."
258,romsan14,"Abu Dhabi, Emirate of Abu Dhabi",,,,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Indoor pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Filipino, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Ironing Service, Massage, 24-Hour Security, Shoeshine, Taxi Service, Valet Parking, VIP Room Facilities, Mountain View Royal M Hotel Fujairah is an excellent choice for travelers visiting Fujairah, offering a trendy environment alongside many helpful amenities designed to enhance your stay.
Close to some of Fujairah's most popular landmarks, such as Our Lady Of Perpetual Help Church (1.3 mi) and Fujairah Historic Fort (1.8 mi), Royal M Hotel Fujairah is a great destination for tourists.
Guest rooms offer a flat screen TV, a minibar, and air conditioning, and Royal M Hotel Fujairah makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including room service and a concierge. In addition, guests can enjoy a rooftop pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.
During your visit, be sure to check out one of Fujairah's popular pubs such as RJJ's Fujairah and Sports Lounge, all a short distance from Royal M Hotel Fujairah.
If you’re looking for something to do, Madhab Sulpheric Spring Park (1.2 mi) is a nice way to spend some time, and it is within walking distance of Royal M Hotel Fujairah.
Enjoy your stay in Fujairah!
"
259,rahuljB9570RV,,,,,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Indoor pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Filipino, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Ironing Service, Massage, 24-Hour Security, Shoeshine, Taxi Service, Valet Parking, VIP Room Facilities, Mountain View Royal M Hotel Fujairah is an excellent choice for travelers visiting Fujairah, offering a trendy environment alongside many helpful amenities designed to enhance your stay.
Close to some of Fujairah's most popular landmarks, such as Our Lady Of Perpetual Help Church (1.3 mi) and Fujairah Historic Fort (1.8 mi), Royal M Hotel Fujairah is a great destination for tourists.
Guest rooms offer a flat screen TV, a minibar, and air conditioning, and Royal M Hotel Fujairah makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including room service and a concierge. In addition, guests can enjoy a rooftop pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.
During your visit, be sure to check out one of Fujairah's popular pubs such as RJJ's Fujairah and Sports Lounge, all a short distance from Royal M Hotel Fujairah.
If you’re looking for something to do, Madhab Sulpheric Spring Park (1.2 mi) is a nice way to spend some time, and it is within walking distance of Royal M Hotel Fujairah.
Enjoy your stay in Fujairah!
"
260,Compass58003785187,,,,," Following good traditions, Lucia’s proposes a dining experience that lives in the traditional past, but is also enjoyed by today’s modern diner who also seeks a taste a of the past."
261,_T4020YV,,,,,"Internet, Room service, Free Internet, Free parking, Restaurant, Public Wifi, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Flatscreen TV, Breakfast Buffet, Arabic, Kids Activities, Shuttle Bus Service, Suites, Wheelchair access, Airport transportation, Wifi, Paid Internet, Dry Cleaning, Concierge, Family Rooms, Smoking rooms available, Refrigerator in room, Minibar, Non-smoking hotel, Safe, Breakfast Available, Free airport transportation, Housekeeping, Baggage Storage, Bath / Shower, Bridal Suite, Car Hire, Express Check-in / Check-out, Clothes Rack, Desk, English, Filipino, Fishing, 24-Hour Front Desk, Hair Dryer, Hindi, Iron, Seating Area, Shoeshine, Snack Bar, Telephone, Urdu, Wake Up Service / Alarm Clock Diwan al amir hotel located in khasab main road city , five minutes walking from lulu super market , you can stay in our rooms with sea view rooms where you can see the port , diwan al amir hotel offers free breakfast with variety of traditional food , diwan al amir hotel have good location , friendly staff , cleanness and quite rooms , free parking around the hotel , also hotel is arranging sea trips and mountain safari ."
262,nazreenfaiz,,,,,"Pool, Internet, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Banquet Room, Air conditioning, Multilingual Staff, Refrigerator in room, Safe, Flatscreen TV, Breakfast Buffet, Poolside Bar, Breakfast Available, Parking, Housekeeping, Kids Stay Free, Arabic, Baggage Storage, Bath / Shower, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, English, Filipino, 24-Hour Front Desk, Hair Dryer, Hindi, Interconnected room(s) available, Kids' Meals, Kid-Friendly Buffet, Pool / Beach Towels, Russian, Room service, Public Wifi, Smoking rooms available, Kids pool, Outdoor pool, Facilities for Disabled Guests, Electric vehicle charging station, ATM On Site, Express Check-in / Check-out, Children's Television Networks, Currency Exchange, Desk, Electric Kettle, Free Wifi in the Business Center, French, Happy Hour, Highchairs Available, Indoor Play Area for Children, Iron, Makeup Services, Manicure, Mountain View, Nepali, Newspaper, Pool View, Pool with View, Private Bathrooms, Salon, 24-Hour Security, Secured Parking, Snack Bar, Soundproof Rooms, Sun Deck, Sun Loungers / Beach Chairs, Telephone, Wake Up Service / Alarm Clock, Wardrobe / Closet, Wine / Champagne, Photo Copier / Fax In Business Center Welcome to Ibis Fujairah, your Fujairah “home away from home.” Ibis Fujairah aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.
For those interested in checking out Fujairah Historic Fort (1.4 mi) while visiting Fujairah, Ibis Fujairah is a short distance away.
Ibis Fujairah offers guests an array of room amenities including a flat screen TV, a kitchenette, and air conditioning, and getting online is possible, as free wifi is available.
The hotel offers a 24 hour front desk, room service, and baggage storage, to make your visit even more pleasant. The property also features a pool and an on-site restaurant. Guests arriving by vehicle have access to free parking.
While you’re here, be sure to check out some of the Asian restaurants, including Oriental Restaurant, Shahrzad Palace, and New Bombay Sea Food Restaurant, all of which are a short distance from Ibis Fujairah.
There is no shortage of things to do in the area: explore popular castles such as Al Hayl Castle.
Ibis Fujairah puts the best of Fujairah at your fingertips, making your stay both relaxing and enjoyable.
"
263,JerLee13,"Metro Manila, Luzon",,,,"Pool, Internet, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Fitness center, Laundry Service, Banquet Room, Air conditioning, Multilingual Staff, Refrigerator in room, Safe, Flatscreen TV, Breakfast Buffet, Poolside Bar, Breakfast Available, Parking, Housekeeping, Kids Stay Free, Arabic, Baggage Storage, Bath / Shower, Blackout Curtains, Bottled Water, Breakfast in the Room, Car Hire, Coffee Shop, Coffee / Tea Maker, Complimentary Tea, English, Filipino, 24-Hour Front Desk, Hair Dryer, Hindi, Interconnected room(s) available, Kids' Meals, Kid-Friendly Buffet, Pool / Beach Towels, Russian, Room service, Public Wifi, Smoking rooms available, Kids pool, Outdoor pool, Facilities for Disabled Guests, Electric vehicle charging station, ATM On Site, Express Check-in / Check-out, Children's Television Networks, Currency Exchange, Desk, Electric Kettle, Free Wifi in the Business Center, French, Happy Hour, Highchairs Available, Indoor Play Area for Children, Iron, Makeup Services, Manicure, Mountain View, Nepali, Newspaper, Pool View, Pool with View, Private Bathrooms, Salon, 24-Hour Security, Secured Parking, Snack Bar, Soundproof Rooms, Sun Deck, Sun Loungers / Beach Chairs, Telephone, Wake Up Service / Alarm Clock, Wardrobe / Closet, Wine / Champagne, Photo Copier / Fax In Business Center Welcome to Ibis Fujairah, your Fujairah “home away from home.” Ibis Fujairah aims to make your visit as relaxing and enjoyable as possible, which is why so many guests continue to come back year after year.
For those interested in checking out Fujairah Historic Fort (1.4 mi) while visiting Fujairah, Ibis Fujairah is a short distance away.
Ibis Fujairah offers guests an array of room amenities including a flat screen TV, a kitchenette, and air conditioning, and getting online is possible, as free wifi is available.
The hotel offers a 24 hour front desk, room service, and baggage storage, to make your visit even more pleasant. The property also features a pool and an on-site restaurant. Guests arriving by vehicle have access to free parking.
While you’re here, be sure to check out some of the Asian restaurants, including Oriental Restaurant, Shahrzad Palace, and New Bombay Sea Food Restaurant, all of which are a short distance from Ibis Fujairah.
There is no shortage of things to do in the area: explore popular castles such as Al Hayl Castle.
Ibis Fujairah puts the best of Fujairah at your fingertips, making your stay both relaxing and enjoyable.
"
264,jalhotari,"Ajman, Emirate of Ajman",,,,"Restaurant, Room service, Pool, Beachfront, Free parking, Wheelchair access, Internet, Kids Activities, Shuttle Bus Service, Free Internet, Bar/Lounge, Spa, Airport transportation, Wifi, Free Wifi, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Tennis Court, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Accessible rooms, Refrigerator in room, Minibar, Conference Facilities, Safe, Heated pool, Flatscreen TV, Breakfast Buffet, Poolside Bar, Butler Service, Infinity Pool, Outdoor pool, Private Beaches, Breakfast Available, Parking, Free Shuttle or Taxi Services, Facilities for Disabled Guests, Housekeeping, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Fitness Classes, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Interconnected room(s) available, Ironing Service, Kids' Outdoor Play Equipment, Pool / Beach Towels, Pool with View, Russian, Shops, Sun Umbrellas, Table Tennis, Taxi Service, Turkish, Beach Access Welcome to Coral Beach Resort, Sharjah, whether you seek the tranquility of the sea or the dynamic bustle of a modern city, Coral Beach Resort - Sharjah is ideally located to offer both."
265,927dalp,,,,, Wakrah Hyderabadi Spice is a modern Indian restaurant which takes its inspiration from an age old approach to dining. This approach allows you to choose a variety of appetizers and entrees to share with your dining companions. Each dish on our extensive menu is prepared to order using only the freshest and highest quality of ingredients.
266,511aishwaryam,,,,," Unique Italian cafe serving exotic drinks and flavourful food in luxurious ambience at affordable prices. Private room available for families and meetings. Free delivery to residences, offices and corporates. Courteous friendly staff. A must try cafe in duqm"
267,GlobeTrotting378316,"Venice, Veneto",,,," An indulgent all-day dining restaurant showcasing flavors from around the world at Al Khiran Kitchen, horizons are meant to be expanded. This is true both literally, thanks to the panoramic views enjoyed from the restaurant’s two-level terrace, and figuratively, courtesy of the internationally inspired menu. Take a seat outdoors for a relaxing meal overlooking the pool and ocean or stay inside to watch the chefs in action through the open kitchen."
268,U5089OVanila,,,,," Kui-Zin, this name is a play on words: Kui for ""cooked"" and Zin which means ""good"" in Arabic. ""Good"", even ""Better"" is our concept. And, to succeed in this challenge, we opted for ""homemade"": concocted by our chef Kenza, who lived 12 years in Italy and is passionate about culinary creation. she offers a varied menu: Moroccan, Italian, French dishes and revisited recipes. Natural, fresh products and aromatic herbs are featured at Kui-Zin. We take advantage of all the benefits of the products of our beautiful country to make you discover the magic of flavors, scents, and tastes, all in a lively and dynamic atmosphere provided by nice music and a charming terrace."
269,Climber19407104807,,,,,"Internet, Free Internet, Free parking, Restaurant, Free Wifi, Breakfast included, Non-smoking rooms, Air conditioning, Refrigerator in room, Non-smoking hotel, Safe, Flatscreen TV, Breakfast Buffet, Private Beaches, Parking, Arabic, Baggage Storage, Bath / Shower, Coffee Shop, Coffee / Tea Maker, English, Entertainment Staff, Complimentary Toiletries, 24-Hour Front Desk, Gift Shop, Kids' Meals, Seating Area, Shops, Telephone, Wake Up Service / Alarm Clock, Wifi, Express Check-in / Check-out, Beach Access Ras al-Jinz Turtle Reserve is an excellent choice for travelers visiting Sur, offering many helpful amenities designed to enhance your stay.
Rooms at Ras Al-jinz Turtle Reserve Hotel offer a flat screen TV, air conditioning, and a refrigerator providing exceptional comfort and convenience, and guests can go online with free wifi.
A 24 hour front desk, express check-in and check-out, and shops are some of the conveniences offered at this bed and breakfast. Free breakfast will also help to make your stay even more special. If you are driving to Ras Al-jinz Turtle Reserve Hotel, free parking is available.
Should time allow, Ras al Hadd Castle is a popular castle that is relatively easy to get to.
Enjoy your stay in Sur!
"
270,DashaLonskaya,Minsk,,,,"Pool, Internet, Suites, Room service, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Wifi, Free Wifi, Dry Cleaning, Fitness center, Banquet Room, Family Rooms, Conference Facilities, Safe, Sauna, Arabic, Fitness / Spa Locker Rooms, Ironing Service, 24-Hour Security, Kids Activities, Free Internet, Airport transportation, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Laundry Service, Concierge, Air conditioning, Multilingual Staff, Minibar, Non-smoking hotel, Breakfast Buffet, Breakfast Available TIME Rako Hotel is a new four star property by TIME Hotels and Resorts in Al Wakra, Qatar. “Rako” which means relaxation or enjoyment in Japanese - is conveniently located 15 minutes from the city centre of Doha, only 10 minutes from Hamad International Airport and 15 minutes from Hamad Port. Ideal for both business executives and families, this modern hotel blends residence privacy with the luxury and convenience of hotel services and facilities."
271,Dipankar_1980,"Dubai, Emirate of Dubai",,,," At Hi Broast Restaurant Sharjah we offer meals of excellent quality and invite you to try our delicious food. The key to our success is simple: providing quality consistent food that taste great every single time. We pride ourselves on serving our customers delicious genuine dishes like: Pizza, Fast Food, Sandwiches Eat delicious food. Grab a drink. But most of all, relax! We thank you from the bottom of our hearts for your continued support."
272,432assemguls,,,,," Our award-winning concept, The Restaurant at Address, offers diners a unique take on their dining experience with an array of internationally inspired dishes. The Restaurant at Address Beach Resort Fujairah is light and airy, with a variety of dining spaces available, you can opt to dine indoors or on our terrace facing our cascading pools. With an extensive assortment of cuisines and signature dishes, our menu has something to satisfy everyone. Our comprehensive menu ranges from Vegan & Healthy options to classic beachside favourites."
273,183nadezhdam,,,,," At Hi Broast Restaurant Sharjah we offer meals of excellent quality and invite you to try our delicious food. The key to our success is simple: providing quality consistent food that taste great every single time. We pride ourselves on serving our customers delicious genuine dishes like: Pizza, Fast Food, Sandwiches Eat delicious food. Grab a drink. But most of all, relax! We thank you from the bottom of our hearts for your continued support."
274,18maytha10,"Dubai, Emirate of Dubai",,,,"Pool, Internet, Kids Activities, Beachfront, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Fitness center, Air conditioning, All-Inclusive, Beach Access, Suites, Spa, Free Wifi, Dry Cleaning, Meeting rooms, Non-smoking rooms, Business center, Laundry Service, Minibar, Babysitting, Safe, Breakfast Buffet, Private Balcony, Adult pool, Outdoor pool, Breakfast Available, Housekeeping, Kids Club, Sauna, Electric vehicle charging station, Additional Bathroom, Allergy-free Room, Arabic, Baggage Storage, Bath / Shower, Bottled Water, Coffee / Tea Maker, English, Facial Treatments, Fitness Classes, Complimentary Toiletries, 24-Hour Front Desk, Hair Dryer, Hammam, Hindi, Interconnected room(s) available, Iron, Ironing Service, Massage, Pool / Beach Towels, Russian, 24-Hour Security, Steam Room, Sun Umbrellas, Taxi Service, Telephone, Wake Up Service / Alarm Clock, Family Rooms, Kids pool, Clothes Rack, Couples Massage, Electric Kettle, Foot Bath, Foot Massage, Full Body Massage, Mountain View, Pool View, Private Bathrooms, Tile / Marble Floor, Wardrobe / Closet Address Beach Resort Fujairah is nestled between the Hajar Mountains and the pristine Fujairah coastline. The hotel will feature 196 guest rooms and suites, with a choice of deluxe king and twin rooms, one-and two-bedroom suites as well as a Presidential Suite, along with four residential buildings with 170 serviced residences. An ultimate beach getaway, the resort is set to become a haven of serenity with inviting magical sunrises, dramatic sunsets and beach promenades by the Indian Ocean. With several culinary options, the resort will feature specialty restaurants, an all-day-dining, a vibrant pool bar, and a Lobby Lounge. The hotel will also feature a state-of-the-art The Spa, fitness center, a kids club and outdoor kids’ play area. Dinining: Salia: Opening Hours 18- 23:30 on weekdays 18- 00:30 on weekends Closed on Mondays A modern seafood bar & grill, nestled below the mountains on the coast of Fujairah. Honoring timeless traditions, with local cultures and inspiring spices. The Restaurant: Opening Hours Breakfast: Daily from 6.30 AM to 11.00 AM Lunch: Daily from 12.00 PM to 4.00 PM Dinner: Daily from 6.00 PM to 12.00 AM Our award-winning concept, The Restaurant at Address, offers diners a unique take on their dining experience with an array of internationally inspired dishes. The Restaurant at Address Beach Resort Fujairah is light and airy, with a variety of dining spaces available, you can opt to dine indoors or on our terrace facing our cascading pools. With an extensive assortment of cuisines and signature dishes, our menu has something to satisfy everyone. Our comprehensive menu ranges from Vegan & Healthy options to classic beachside favorites. You may rest assured that your experience in Address Beach Resort Fujairah will be memorable."
275,Flyer801569,,,,," a simple place serving hot thin crust italian pizza with all fresh ingredients served hot ,all ingredients are 100%HALAL ,simple seated area , nice scenic veiw,friendly service and hospitality."
276,ngwes2024,,,,," Following good traditions, Lucia’s proposes a dining experience that lives in the traditional past, but is also enjoyed by today’s modern diner who also seeks a taste a of the past."
277,wasemk2024,,,,,"Pool, Internet, Kids Activities, Shuttle Bus Service, Suites, Room service, Free Internet, Free parking, Wheelchair access, Restaurant, Bar/Lounge, Spa, Airport transportation, Wifi, Public Wifi, Free Wifi, Breakfast included, Dry Cleaning, Meeting rooms, Hot Tub, Non-smoking rooms, Business center, Fitness center, Laundry Service, Concierge, Banquet Room, Air conditioning, Family Rooms, Multilingual Staff, Smoking rooms available, Minibar, Conference Facilities, Babysitting, Safe, Swimup Bar, Rooftop Pool, Flatscreen TV, Breakfast Buffet, Indoor pool, Outdoor pool, Breakfast Available, Parking, Facilities for Disabled Guests, Kids Club, Kids Stay Free, Arabic, Baggage Storage, Currency Exchange, Doorperson, Filipino, Fitness / Spa Locker Rooms, 24-Hour Front Desk, Hindi, Ironing Service, Massage, 24-Hour Security, Shoeshine, Taxi Service, Valet Parking, VIP Room Facilities, Mountain View Royal M Hotel Fujairah is an excellent choice for travelers visiting Fujairah, offering a trendy environment alongside many helpful amenities designed to enhance your stay.
Close to some of Fujairah's most popular landmarks, such as Our Lady Of Perpetual Help Church (1.3 mi) and Fujairah Historic Fort (1.8 mi), Royal M Hotel Fujairah is a great destination for tourists.
Guest rooms offer a flat screen TV, a minibar, and air conditioning, and Royal M Hotel Fujairah makes getting online easy as free wifi is available.
You can also take advantage of some of the amenities offered by the hotel, including room service and a concierge. In addition, guests can enjoy a rooftop pool and free breakfast during their visit. As an added convenience, there is free parking available to guests.
During your visit, be sure to check out one of Fujairah's popular pubs such as RJJ's Fujairah and Sports Lounge, all a short distance from Royal M Hotel Fujairah.
If you’re looking for something to do, Madhab Sulpheric Spring Park (1.2 mi) is a nice way to spend some time, and it is within walking distance of Royal M Hotel Fujairah.
Enjoy your stay in Fujairah!
"
278,208fatimai,,,,," Following good traditions, Lucia’s proposes a dining experience that lives in the traditional past, but is also enjoyed by today’s modern diner who also seeks a taste a of the past."
